month,day,season,transexp,distance,servtime,age,childen,bmi,absenttime
7,3,1,289,36,13,33,2,30,4
7,3,1,118,13,18,50,1,31,0
7,4,1,179,51,18,38,0,31,2
7,5,1,279,5,14,39,2,24,4
7,5,1,289,36,13,33,2,30,2
7,6,1,179,51,18,38,0,31,2
7,6,1,361,52,3,28,1,27,8
7,6,1,260,50,11,36,4,23,4
7,2,1,155,12,14,34,2,25,40
7,2,1,235,11,14,37,1,29,8
7,2,1,260,50,11,36,4,23,8
7,3,1,260,50,11,36,4,23,8
7,4,1,260,50,11,36,4,23,8
7,4,1,179,51,18,38,0,31,1
7,4,1,179,51,18,38,0,31,4
7,6,1,246,25,16,41,0,23,8
7,6,1,179,51,18,38,0,31,2
7,2,1,179,51,18,38,0,31,8
7,5,1,189,29,13,33,2,25,8
8,4,1,248,25,14,47,2,32,2
8,4,1,330,16,4,28,0,25,8
8,2,1,179,51,18,38,0,31,1
8,2,1,361,52,3,28,1,27,40
8,6,1,260,50,11,36,4,23,4
8,2,1,289,36,13,33,2,30,8
8,2,1,361,52,3,28,1,27,7
8,3,1,289,36,13,33,2,30,1
8,4,1,157,27,6,29,0,22,4
8,4,1,289,36,13,33,2,30,8
8,6,1,179,51,18,38,0,31,2
8,2,1,179,51,18,38,0,31,8
8,5,1,235,29,12,48,1,33,8
8,5,1,235,11,14,37,1,29,4
8,2,1,235,29,12,48,1,33,8
8,2,1,179,51,18,38,0,31,2
8,2,1,361,52,3,28,1,27,1
8,3,1,289,36,13,33,2,30,8
8,5,1,291,50,12,32,0,23,4
8,6,1,235,29,12,48,1,33,8
8,6,1,260,50,11,36,4,23,4
9,3,1,184,42,7,27,0,21,2
9,2,1,118,10,10,37,0,28,4
9,3,1,179,51,18,38,0,31,4
9,3,1,235,20,13,43,1,38,8
9,4,1,155,12,14,34,2,25,2
9,2,1,118,10,10,37,0,28,3
9,3,1,179,51,18,38,0,31,3
9,5,1,291,31,12,40,1,25,4
9,6,1,260,50,11,36,4,23,8
9,2,4,291,31,12,40,1,25,32
9,2,4,260,50,11,36,4,23,0
9,2,4,225,26,9,28,1,24,0
9,3,4,225,26,9,28,1,24,2
9,3,4,118,10,10,37,0,28,2
9,3,4,289,36,13,33,2,30,0
9,3,4,118,13,18,50,1,31,0
9,4,4,225,26,9,28,1,24,3
9,4,4,179,51,18,38,0,31,3
9,4,4,369,17,12,31,3,25,0
9,6,4,248,25,14,47,2,32,1
9,6,4,179,51,18,38,0,31,3
9,6,4,260,50,11,36,4,23,4
10,3,4,179,51,18,38,0,31,3
10,3,4,118,10,10,37,0,28,3
10,4,4,118,13,18,50,1,31,0
10,5,4,179,26,9,30,0,19,1
10,6,4,179,51,18,38,0,31,3
10,6,4,225,26,9,28,1,24,3
10,3,4,118,10,10,37,0,28,3
10,4,4,225,26,9,28,1,24,2
10,4,4,248,25,14,47,2,32,2
10,5,4,291,31,12,40,1,25,5
10,4,4,179,51,18,38,0,31,8
10,4,4,225,26,9,28,1,24,3
10,5,4,260,50,11,36,4,23,16
10,3,4,291,31,12,40,1,25,8
10,3,4,225,26,9,28,1,24,2
10,4,4,289,36,13,33,2,30,8
10,6,4,361,52,3,28,1,27,1
10,6,4,260,50,11,36,4,23,3
11,5,4,179,51,18,38,0,31,1
11,4,4,225,26,9,28,1,24,1
11,5,4,179,51,18,38,0,31,8
11,5,4,179,22,17,40,2,22,8
11,5,4,291,31,12,40,1,25,5
11,2,4,155,12,14,34,2,25,32
11,2,4,189,29,13,33,2,25,8
11,2,4,291,31,12,40,1,25,40
11,4,4,225,26,9,28,1,24,1
11,6,4,155,12,14,34,2,25,8
11,4,4,225,26,9,28,1,24,3
11,4,4,179,22,17,40,2,22,8
11,6,4,225,26,9,28,1,24,3
11,6,4,260,50,11,36,4,23,4
11,2,4,248,25,14,47,2,32,1
11,3,4,225,26,9,28,1,24,3
11,4,4,289,36,13,33,2,30,24
11,5,4,291,31,12,40,1,25,3
12,3,4,248,25,14,47,2,32,1
12,3,4,118,10,10,37,0,28,64
12,4,4,118,13,18,50,1,31,2
12,4,4,235,11,14,37,1,29,8
12,5,4,225,26,9,28,1,24,2
12,6,4,260,50,11,36,4,23,8
12,3,4,118,10,10,37,0,28,56
12,4,4,361,52,3,28,1,27,8
12,5,4,225,26,9,28,1,24,3
12,6,4,260,50,11,36,4,23,3
12,3,4,225,26,9,28,1,24,2
12,4,4,361,52,3,28,1,27,8
12,6,4,118,10,10,37,0,28,2
12,6,2,246,25,16,41,0,23,8
12,6,2,225,26,9,28,1,24,2
1,4,2,225,26,9,28,1,24,1
1,2,2,118,10,10,37,0,28,1
1,3,2,118,10,10,37,0,28,1
1,3,2,155,12,14,34,2,25,8
1,4,2,225,26,9,28,1,24,2
1,5,2,184,42,7,27,0,21,2
1,5,2,225,26,9,28,1,24,2
1,6,2,225,26,9,28,1,24,1
1,2,2,118,10,10,37,0,28,2
1,3,2,225,26,9,28,1,24,2
1,3,2,118,10,10,37,0,28,2
1,4,2,118,10,10,37,0,28,2
1,5,2,118,10,10,37,0,28,2
1,6,2,118,10,10,37,0,28,2
1,2,2,118,10,10,37,0,28,2
1,3,2,118,10,10,37,0,28,2
1,3,2,179,26,9,30,0,19,8
1,3,2,289,36,13,33,2,30,8
1,4,2,118,10,10,37,0,28,2
1,5,2,184,42,7,27,0,21,2
1,5,2,118,10,10,37,0,28,2
1,2,2,118,10,10,37,0,28,0
1,3,2,225,26,9,28,1,24,1
1,5,2,289,36,13,33,2,30,3
2,6,2,184,42,7,27,0,21,1
2,4,2,246,25,16,41,0,23,8
2,4,2,179,51,18,38,0,31,8
2,5,2,155,12,14,34,2,25,2
2,5,2,189,29,13,33,2,25,8
2,6,2,260,50,11,36,4,23,2
2,6,2,289,36,13,33,2,30,8
2,2,2,388,15,9,50,0,24,8
2,3,2,388,15,9,50,0,24,8
2,2,2,225,26,9,28,1,24,2
2,3,2,225,26,9,28,1,24,2
2,3,2,179,26,9,30,0,19,1
2,3,2,184,42,7,27,0,21,8
2,5,2,225,26,9,28,1,24,3
2,2,2,330,16,4,28,0,25,8
2,3,2,330,16,4,28,0,25,1
2,4,2,225,26,9,28,1,24,1
2,5,2,189,29,13,33,2,25,8
3,3,2,291,50,12,32,0,23,2
3,3,2,260,50,11,36,4,23,8
3,3,2,157,27,6,29,0,22,3
3,3,2,179,22,17,40,2,22,8
3,4,2,291,31,12,40,1,25,8
3,4,2,260,50,11,36,4,23,8
3,5,2,179,26,9,30,0,19,8
3,6,2,248,25,14,47,2,32,3
3,6,2,260,50,11,36,4,23,40
3,2,2,179,22,17,40,2,22,40
3,2,2,155,12,14,34,2,25,16
3,2,2,260,50,11,36,4,23,16
3,3,2,155,12,14,34,2,25,8
3,5,2,289,36,13,33,2,30,8
3,5,2,179,22,17,40,2,22,8
3,6,2,260,50,11,36,4,23,4
3,6,2,225,26,9,28,1,24,1
3,2,2,279,5,14,39,2,24,8
3,3,2,179,51,18,38,0,31,24
3,4,2,225,26,9,28,1,24,2
3,2,3,225,26,9,28,1,24,8
3,2,3,179,26,9,30,0,19,1
3,3,3,225,26,9,28,1,24,8
3,4,3,225,26,9,28,1,24,16
3,4,3,179,51,18,38,0,31,3
3,5,3,279,5,14,39,2,24,16
3,6,3,225,26,9,28,1,24,2
3,6,3,248,25,14,47,2,32,3
3,2,3,225,26,9,28,1,24,1
4,4,3,291,31,12,40,1,25,1
4,4,3,225,26,9,28,1,24,1
4,3,3,155,12,14,34,2,25,1
4,4,3,246,25,16,41,0,23,24
4,5,3,155,12,14,34,2,25,1
4,6,3,225,26,9,28,1,24,2
4,6,3,260,50,11,36,4,23,4
4,4,3,179,51,18,38,0,31,24
4,5,3,118,13,18,50,1,31,1
4,6,3,291,31,12,40,1,25,3
4,6,3,246,25,16,41,0,23,8
4,6,3,291,31,12,40,1,25,1
4,6,3,248,25,14,47,2,32,8
4,6,3,260,50,11,36,4,23,56
4,3,3,289,36,13,33,2,30,8
4,4,3,155,12,14,34,2,25,24
4,4,3,378,49,11,36,2,21,8
4,5,3,289,36,13,33,2,30,16
4,6,3,235,11,14,37,1,29,3
4,2,3,235,29,12,48,1,33,0
5,4,3,289,36,13,33,2,30,8
5,5,3,155,12,14,34,2,25,2
5,2,3,155,12,14,34,2,25,1
5,3,3,179,51,18,38,0,31,8
5,3,3,225,26,9,28,1,24,8
5,4,3,184,42,7,27,0,21,4
5,2,3,155,12,14,34,2,25,2
5,3,3,179,51,18,38,0,31,1
5,4,3,289,36,13,33,2,30,24
5,4,3,279,5,14,39,2,24,0
5,4,3,330,16,4,28,0,25,0
5,4,3,378,49,11,36,2,21,0
5,4,3,388,15,9,50,0,24,0
5,3,3,179,51,18,38,0,31,1
5,4,3,118,13,18,50,1,31,24
5,6,3,361,52,3,28,1,27,8
6,2,3,246,25,16,41,0,23,8
6,2,3,361,52,3,28,1,27,8
6,3,3,246,25,16,41,0,23,24
6,5,3,291,31,12,40,1,25,4
6,6,3,246,25,16,41,0,23,8
6,2,3,179,51,18,38,0,31,8
6,2,3,155,12,14,34,2,25,4
6,2,3,246,25,16,41,0,23,8
6,4,3,118,13,18,50,1,31,8
6,6,3,235,11,14,37,1,29,16
6,3,3,118,13,18,50,1,31,1
6,4,3,118,13,18,50,1,31,80
6,5,3,378,49,11,36,2,21,8
6,6,3,179,51,18,38,0,31,2
6,2,1,289,48,29,49,0,36,2
6,5,1,225,26,9,28,1,24,2
7,3,1,155,12,14,34,2,25,16
7,4,1,118,13,18,50,1,31,8
7,6,1,118,10,10,37,0,28,8
7,6,1,118,10,10,37,0,28,4
7,3,1,330,16,4,28,0,25,8
7,5,1,179,26,9,30,0,19,8
7,6,1,155,12,14,34,2,25,2
7,2,1,330,16,4,28,0,25,8
7,3,1,330,16,4,28,0,25,8
7,2,1,157,27,6,29,0,22,3
7,3,1,361,52,3,28,1,27,8
7,4,1,289,36,13,33,2,30,8
7,5,1,179,51,18,38,0,31,8
7,2,1,289,36,13,33,2,30,32
7,5,1,289,36,13,33,2,30,8
7,5,1,260,50,11,36,4,23,0
8,6,1,289,36,13,33,2,30,8
8,6,1,157,27,6,29,0,22,3
8,2,1,289,36,13,33,2,30,1
8,3,1,228,14,16,58,2,22,8
8,5,1,300,26,13,43,2,25,1
8,5,1,300,26,13,43,2,25,2
8,6,1,260,50,11,36,4,23,4
8,3,1,289,36,13,33,2,30,4
8,4,1,248,25,14,47,2,32,1
8,5,1,268,11,8,33,0,25,8
8,5,1,179,26,9,30,0,19,1
8,5,1,118,13,18,50,1,31,3
8,2,1,248,25,14,47,2,32,2
8,3,1,235,11,14,37,1,29,1
8,5,1,118,13,18,50,1,31,1
8,5,1,235,11,14,37,1,29,8
8,3,1,361,52,3,28,1,27,8
8,4,1,184,42,7,27,0,21,8
9,2,1,179,51,18,38,0,31,8
9,6,1,179,51,18,38,0,31,3
9,4,1,289,36,13,33,2,30,24
9,5,1,235,20,13,43,1,38,0
9,2,1,246,25,16,41,0,23,16
9,3,1,291,31,12,40,1,25,3
9,3,1,231,35,14,39,2,35,0
9,3,1,291,50,12,32,0,23,0
9,4,1,179,51,18,38,0,31,8
9,4,1,246,25,16,41,0,23,32
9,5,1,179,51,18,38,0,31,1
9,6,1,291,31,12,40,1,25,4
9,6,1,260,50,11,36,4,23,4
9,4,4,235,20,13,43,1,38,8
9,5,4,118,13,18,50,1,31,1
9,5,4,235,20,13,43,1,38,0
9,6,4,291,31,12,40,1,25,3
9,2,4,291,31,12,40,1,25,40
9,2,4,179,51,18,38,0,31,8
10,2,4,289,36,13,33,2,30,8
10,2,4,235,11,14,37,1,29,4
10,2,4,289,36,13,33,2,30,8
10,6,4,289,36,13,33,2,30,8
10,6,4,118,13,18,50,1,31,0
10,6,4,248,25,14,47,2,32,0
10,2,4,179,26,9,30,0,19,8
10,2,4,118,10,10,37,0,28,3
10,2,4,369,17,12,31,3,25,8
10,4,4,179,51,18,38,0,31,1
10,4,4,179,26,9,30,0,19,64
10,4,4,235,20,13,43,1,38,0
10,5,4,289,36,13,33,2,30,16
10,6,4,260,50,11,36,4,23,3
10,6,4,235,20,13,43,1,38,0
10,2,4,235,20,13,43,1,38,2
10,2,4,235,20,13,43,1,38,2
10,3,4,118,13,18,50,1,31,1
10,3,4,291,31,12,40,1,25,4
10,5,4,179,26,9,30,0,19,16
10,5,4,118,13,18,50,1,31,1
10,2,4,361,52,3,28,1,27,8
10,3,4,260,50,11,36,4,23,0
10,3,4,291,31,12,40,1,25,0
10,3,4,157,27,6,29,0,22,0
10,4,4,179,26,9,30,0,19,5
10,4,4,179,26,9,30,0,19,5
10,5,4,118,13,18,50,1,31,1
11,2,4,118,10,10,37,0,28,8
11,2,4,248,25,14,47,2,32,2
11,3,4,179,51,18,38,0,31,8
11,6,4,260,50,11,36,4,23,3
11,2,4,291,31,12,40,1,25,1
11,2,4,378,49,11,36,2,21,8
11,2,4,155,12,14,34,2,25,120
11,2,4,235,20,13,43,1,38,8
11,3,4,330,16,4,28,0,25,0
11,4,4,235,11,14,37,1,29,1
11,4,4,118,10,10,37,0,28,3
11,5,4,235,11,14,37,1,29,2
11,5,4,179,51,18,38,0,31,3
11,6,4,246,25,16,41,0,23,8
11,6,4,291,31,12,40,1,25,4
11,2,4,246,25,16,41,0,23,8
11,3,4,179,51,18,38,0,31,1
11,4,4,260,50,11,36,4,23,8
11,6,4,260,50,11,36,4,23,8
11,6,4,378,49,11,36,2,21,0
11,3,4,279,5,14,39,2,24,0
11,5,4,179,51,18,38,0,31,1
12,2,4,225,26,9,28,1,24,3
12,2,4,179,51,18,38,0,31,2
12,2,4,179,51,18,38,0,31,1
12,2,4,235,11,14,37,1,29,3
12,3,4,118,13,18,50,1,31,1
12,6,4,260,50,11,36,4,23,4
12,5,4,246,25,16,41,0,23,8
12,5,4,179,51,18,38,0,31,1
12,6,4,179,51,18,38,0,31,1
12,3,4,179,26,9,30,0,19,1
12,3,4,118,10,10,37,0,28,8
12,5,4,235,11,14,37,1,29,2
12,6,4,179,51,18,38,0,31,1
12,3,2,235,20,13,43,1,38,8
12,3,2,235,11,14,37,1,29,4
12,4,2,260,50,11,36,4,23,8
12,2,2,157,27,6,29,0,22,2
12,2,2,179,51,18,38,0,31,3
12,2,2,289,36,13,33,2,30,8
1,4,2,225,26,9,28,1,24,5
1,2,2,118,10,10,37,0,28,32
1,2,2,155,12,14,34,2,25,2
1,3,2,235,11,14,37,1,29,1
1,3,2,155,12,14,34,2,25,4
1,2,2,289,36,13,33,2,30,8
1,4,2,291,31,12,40,1,25,8
