month,day,season,transexp,distance,servtime,age,childen,bmi,absenttime
1,2,2,235,20,13,43,1,38,8
1,2,2,118,13,18,50,1,31,4
1,4,2,179,51,18,38,0,31,1
1,6,2,179,51,18,38,0,31,1
2,3,2,118,10,10,37,0,28,2
2,4,2,179,51,18,38,0,31,3
2,4,2,225,26,9,28,1,24,1
2,6,2,289,36,13,33,2,30,3
2,6,2,260,50,11,36,4,23,3
2,6,2,179,51,18,38,0,31,3
2,2,2,179,51,18,38,0,31,2
2,4,2,179,51,18,38,0,31,3
2,5,2,179,51,18,38,0,31,8
2,5,2,246,25,16,41,0,23,8
2,6,2,179,51,18,38,0,31,3
2,2,2,189,29,13,33,2,25,8
2,2,2,179,51,18,38,0,31,3
2,3,2,246,25,16,41,0,23,2
2,3,2,291,31,12,40,1,25,2
2,4,2,157,27,6,29,0,22,16
2,4,2,179,51,18,38,0,31,3
2,6,2,179,51,18,38,0,31,3
2,6,2,246,25,16,41,0,23,24
2,4,2,179,51,18,38,0,31,3
2,6,2,179,51,18,38,0,31,3
3,3,2,118,10,10,37,0,28,8
3,4,2,246,25,16,41,0,23,16
3,6,2,246,25,16,41,0,23,2
3,6,2,260,50,11,36,4,23,4
3,2,2,179,51,18,38,0,31,2
3,2,2,235,11,14,37,1,29,8
3,3,2,179,22,17,40,2,22,8
3,3,2,378,49,11,36,2,21,8
3,2,2,179,51,18,38,0,31,16
3,4,2,361,52,3,28,1,27,8
3,4,2,369,17,12,31,3,25,0
3,5,2,235,11,14,37,1,29,8
3,6,3,118,13,18,50,1,31,2
3,3,3,118,13,18,50,1,31,3
3,4,3,118,13,18,50,1,31,8
3,5,3,235,11,14,37,1,29,0
3,5,3,246,25,16,41,0,23,0
3,5,3,118,13,18,50,1,31,0
3,6,3,179,51,18,38,0,31,8
3,6,3,289,36,13,33,2,30,8
3,2,3,260,50,11,36,4,23,8
3,3,3,246,25,16,41,0,23,2
4,4,3,179,51,18,38,0,31,4
4,6,3,260,50,11,36,4,23,3
4,6,3,330,16,4,28,0,25,4
4,2,3,369,17,12,31,3,25,4
4,2,3,248,25,14,47,2,32,4
4,4,3,330,16,4,28,0,25,8
4,4,3,179,51,18,38,0,31,8
4,2,3,118,13,18,50,1,31,1
4,4,3,118,13,18,50,1,31,120
4,6,3,300,26,13,43,2,25,8
4,6,3,260,50,11,36,4,23,4
4,2,3,179,51,18,38,0,31,4
4,4,3,118,10,10,37,0,28,2
5,2,3,235,20,13,43,1,38,16
5,4,3,248,25,14,47,2,32,2
5,2,3,369,17,12,31,3,25,8
5,4,3,179,26,9,30,0,19,3
5,4,3,179,51,18,38,0,31,4
5,5,3,361,52,3,28,1,27,1
5,6,3,260,50,11,36,4,23,3
5,2,3,179,22,17,40,2,22,2
5,2,3,179,22,17,40,2,22,3
5,4,3,228,14,16,58,2,22,8
5,4,3,225,26,9,28,1,24,3
5,6,3,330,16,4,28,0,25,8
5,2,3,179,26,9,30,0,19,2
5,2,3,118,10,10,37,0,28,1
5,2,3,235,11,14,37,1,29,8
5,4,3,179,26,9,30,0,19,3
6,2,3,118,10,10,37,0,28,3
6,2,3,179,51,18,38,0,31,3
6,3,3,118,10,10,37,0,28,2
6,5,3,225,26,9,28,1,24,4
6,6,3,260,50,11,36,4,23,4
6,6,3,179,51,18,38,0,31,0
6,2,3,291,31,12,40,1,25,40
6,2,3,179,51,18,38,0,31,24
6,3,3,246,25,16,41,0,23,3
6,2,3,179,51,18,38,0,31,4
6,3,3,235,20,13,43,1,38,8
6,2,1,179,51,18,38,0,31,2
6,4,1,225,26,9,28,1,24,2
6,4,1,118,13,18,50,1,31,2
6,4,1,179,51,18,38,0,31,8
6,4,1,179,26,9,30,0,19,2
6,6,1,246,25,16,41,0,23,2
6,3,1,330,16,4,28,0,25,1
6,3,1,235,11,14,37,1,29,8
7,5,1,179,26,9,30,0,19,2
7,5,1,225,26,9,28,1,24,4
7,6,1,260,50,11,36,4,23,8
7,2,1,268,11,8,33,0,25,8
7,6,1,330,16,4,28,0,25,8
7,6,1,118,10,10,37,0,28,8
7,2,1,260,50,11,36,4,23,4
7,3,1,118,10,10,37,0,28,8
7,2,1,300,26,13,43,2,25,8
7,2,1,235,29,12,48,1,33,1
7,3,1,246,25,16,41,0,23,2
7,3,1,225,26,9,28,1,24,112
7,3,1,179,51,18,38,0,31,1
7,6,1,118,13,18,50,1,31,1
7,6,1,361,52,3,28,1,27,8
7,2,1,289,36,13,33,2,30,8
7,2,1,235,20,13,43,1,38,8
7,3,1,246,25,16,41,0,23,2
7,5,1,291,31,12,40,1,25,1
7,5,1,279,5,14,39,2,24,2
8,5,1,179,51,18,38,0,31,4
8,2,1,179,22,17,40,2,22,1
8,3,1,246,25,16,41,0,23,4
8,3,1,118,10,10,37,0,28,4
8,3,1,289,36,13,33,2,30,8
8,3,1,235,20,13,43,1,38,8
8,5,1,291,31,12,40,1,25,4
8,2,1,179,51,18,38,0,31,4
8,3,1,179,22,17,40,2,22,8
8,5,1,330,16,4,28,0,25,16
8,3,1,235,11,14,37,1,29,4
8,3,1,246,25,16,41,0,23,1
8,3,1,118,10,10,37,0,28,5
8,5,1,291,31,12,40,1,25,2
8,2,1,260,50,11,36,4,23,3
9,3,1,246,25,16,41,0,23,1
9,3,1,246,25,16,41,0,23,1
9,3,1,118,10,10,37,0,28,3
9,3,1,155,12,14,34,2,25,2
9,5,1,291,31,12,40,1,25,2
9,6,1,179,26,9,30,0,19,8
9,6,1,248,25,14,47,2,32,1
9,2,1,179,51,18,38,0,31,4
9,4,1,225,26,9,28,1,24,1
9,2,1,179,26,9,30,0,19,2
9,3,4,369,17,12,31,3,25,8
9,3,4,361,52,3,28,1,27,8
10,5,4,289,48,29,49,0,36,1
10,5,4,235,16,8,32,0,25,3
10,6,4,246,25,16,41,0,23,8
10,4,4,289,48,29,49,0,36,3
10,4,4,291,31,12,40,1,25,2
10,3,4,118,10,10,37,0,28,2
10,5,4,289,48,29,49,0,36,2
10,6,4,291,31,12,40,1,25,1
10,3,4,225,26,9,28,1,24,2
10,3,4,369,17,12,31,3,25,8
10,3,4,369,17,12,31,3,25,3
10,3,4,225,26,9,28,1,24,4
10,3,4,369,17,12,31,3,25,8
10,4,4,179,51,18,38,0,31,3
10,4,4,228,14,16,58,2,22,1
10,4,4,291,31,12,40,1,25,1
10,5,4,369,17,12,31,3,25,8
10,5,4,225,26,9,28,1,24,1
10,6,4,369,17,12,31,3,25,8
10,6,4,225,26,9,28,1,24,3
10,2,4,189,29,13,33,2,25,8
10,2,4,235,16,8,32,0,25,8
10,2,4,248,25,14,47,2,32,8
10,2,4,225,26,9,28,1,24,0
10,3,4,225,26,9,28,1,24,3
11,3,4,179,51,18,38,0,31,1
11,4,4,118,10,10,37,0,28,3
11,4,4,330,16,4,28,0,25,24
11,6,4,179,51,18,38,0,31,1
11,3,4,118,10,10,37,0,28,8
11,4,4,289,36,13,33,2,30,8
11,6,4,235,16,8,32,0,25,8
11,6,4,225,26,9,28,1,24,4
11,3,4,361,52,3,28,1,27,8
11,4,4,291,31,12,40,1,25,2
11,5,4,118,10,10,37,0,28,2
11,5,4,225,26,9,28,1,24,3
11,2,4,179,51,18,38,0,31,1
11,2,4,118,10,10,37,0,28,8
11,3,4,118,10,10,37,0,28,8
11,3,4,225,26,9,28,1,24,2
11,3,4,291,31,12,40,1,25,0
11,4,4,289,36,13,33,2,30,0
11,5,4,248,25,14,47,2,32,4
11,5,4,235,20,13,43,1,38,0
11,6,4,225,26,9,28,1,24,2
11,6,4,369,17,12,31,3,25,8
11,2,4,361,52,3,28,1,27,2
12,3,4,179,51,18,38,0,31,32
12,4,4,291,31,12,40,1,25,1
12,4,4,225,26,9,28,1,24,3
12,6,4,179,26,9,30,0,19,1
12,6,4,225,26,9,28,1,24,3
12,4,4,225,26,9,28,1,24,3
12,5,4,361,52,3,28,1,27,4
12,6,4,179,22,17,40,2,22,2
12,6,4,235,20,13,43,1,38,8
12,2,4,233,51,1,31,1,21,8
12,3,4,179,26,9,30,0,19,16
12,3,4,225,26,9,28,1,24,2
12,5,4,225,26,9,28,1,24,3
12,2,4,225,26,9,28,1,24,2
12,3,2,155,12,14,34,2,25,80
1,2,2,179,26,9,30,0,19,24
1,5,2,179,26,9,30,0,19,16
1,5,2,179,22,17,40,2,22,2
1,6,2,179,22,17,40,2,22,2
1,2,2,179,26,9,30,0,19,3
1,4,2,179,22,17,40,2,22,2
1,5,2,289,48,29,49,0,36,8
1,6,2,179,22,17,40,2,22,3
1,2,2,179,26,9,30,0,19,2
1,3,2,155,12,14,34,2,25,8
1,4,2,179,26,9,30,0,19,2
1,4,2,179,51,18,38,0,31,3
1,4,2,289,36,13,33,2,30,8
1,5,2,179,51,18,38,0,31,3
1,6,2,179,51,18,38,0,31,2
2,3,2,179,51,18,38,0,31,8
2,3,2,225,26,9,28,1,24,3
2,4,2,248,25,14,47,2,32,8
2,4,2,179,51,18,38,0,31,2
2,5,2,225,26,9,28,1,24,3
2,5,2,179,51,18,38,0,31,2
2,5,2,179,26,9,30,0,19,2
2,6,2,225,15,15,41,2,28,2
2,6,2,179,51,18,38,0,31,2
2,2,2,233,51,1,31,1,21,2
2,2,2,179,51,18,38,0,31,2
2,3,2,225,26,9,28,1,24,8
2,4,2,179,51,18,38,0,31,3
2,5,2,179,51,18,38,0,31,3
2,5,2,225,26,9,28,1,24,3
2,5,2,179,26,9,30,0,19,2
2,6,2,179,22,17,40,2,22,2
2,6,2,179,51,18,38,0,31,3
2,4,2,233,51,1,31,1,21,3
2,4,2,179,26,9,30,0,19,2
2,4,2,179,51,18,38,0,31,2
2,5,2,179,51,18,38,0,31,8
2,6,2,179,51,18,38,0,31,2
2,2,2,155,12,14,34,2,25,5
2,2,2,235,16,8,32,0,25,3
2,2,2,179,51,18,38,0,31,2
2,2,2,225,26,9,28,1,24,2
2,3,2,179,51,18,38,0,31,2
2,3,2,248,25,14,47,2,32,2
2,3,2,225,26,9,28,1,24,2
2,4,2,179,51,18,38,0,31,2
2,5,2,179,51,18,38,0,31,2
2,6,2,235,16,8,32,0,25,2
3,2,2,179,51,18,38,0,31,2
3,2,2,248,25,14,47,2,32,2
3,3,2,228,14,16,58,2,22,3
3,3,2,248,25,14,47,2,32,3
3,3,2,228,14,16,58,2,22,112
3,4,2,179,51,18,38,0,31,2
3,5,2,225,26,9,28,1,24,2
3,5,2,179,51,18,38,0,31,3
3,5,2,225,26,9,28,1,24,2
3,6,2,179,26,9,30,0,19,3
3,2,2,235,16,8,32,0,25,3
3,2,2,361,52,3,28,1,27,8
3,3,2,179,51,18,38,0,31,8
3,4,2,179,51,18,38,0,31,2
3,5,2,179,51,18,38,0,31,3
3,6,2,179,26,9,30,0,19,2
3,2,2,179,51,18,38,0,31,4
3,2,2,248,25,14,47,2,32,2
3,2,2,179,51,18,38,0,31,3
3,2,2,225,26,9,28,1,24,8
3,3,2,179,51,18,38,0,31,2
3,4,2,289,36,13,33,2,30,8
3,4,2,228,14,16,58,2,22,2
3,4,2,179,51,18,38,0,31,2
3,5,2,248,25,14,47,2,32,3
3,5,2,179,51,18,38,0,31,3
3,6,2,179,26,9,30,0,19,2
3,6,2,179,51,18,38,0,31,3
3,3,3,179,51,18,38,0,31,3
3,4,3,118,15,24,46,2,25,8
3,4,3,155,12,14,34,2,25,24
3,4,3,179,51,18,38,0,31,3
3,5,3,179,51,18,38,0,31,3
3,2,3,179,26,9,30,0,19,2
3,2,3,289,36,13,33,2,30,104
3,4,3,369,17,12,31,3,25,8
4,2,3,225,26,9,28,1,24,8
4,2,3,118,10,10,37,0,28,8
4,3,3,361,52,3,28,1,27,8
4,4,3,248,25,14,47,2,32,8
4,5,3,189,29,13,33,2,25,8
4,6,3,179,26,9,30,0,19,2
4,2,3,369,17,12,31,3,25,24
4,3,3,179,22,17,40,2,22,2
4,3,3,118,13,18,50,1,31,3
4,3,3,361,52,3,28,1,27,2
4,4,3,118,10,10,37,0,28,2
4,6,3,235,11,14,37,1,29,8
4,6,3,179,26,9,30,0,19,2
4,2,3,225,26,9,28,1,24,8
4,3,3,235,16,8,32,0,25,3
4,6,3,179,26,9,30,0,19,2
4,3,3,155,12,14,34,2,25,4
4,5,3,225,26,9,28,1,24,8
4,5,3,118,13,18,50,1,31,2
4,6,3,179,26,9,30,0,19,2
5,2,3,235,11,14,37,1,29,8
5,4,3,225,15,15,41,2,28,3
5,4,3,235,16,8,32,0,25,2
5,4,3,118,10,10,37,0,28,3
5,4,3,235,20,13,43,1,38,8
5,5,3,179,26,9,30,0,19,1
5,5,3,291,31,12,40,1,25,2
5,5,3,225,15,15,41,2,28,8
5,6,3,300,26,13,43,2,25,64
5,6,3,225,15,15,41,2,28,8
5,6,3,179,26,9,30,0,19,2
5,2,3,118,13,18,50,1,31,2
5,3,3,118,13,18,50,1,31,3
5,3,3,118,10,10,37,0,28,1
5,3,3,118,13,18,50,1,31,0
5,4,3,179,26,9,30,0,19,2
5,4,3,378,49,11,36,2,21,0
5,6,3,179,22,17,40,2,22,1
5,2,3,155,12,14,34,2,25,48
5,2,3,235,16,8,32,0,25,8
5,4,3,291,31,12,40,1,25,8
5,4,3,179,22,17,40,2,22,8
5,4,3,225,26,9,28,1,24,3
5,5,3,330,16,4,28,0,25,8
5,5,3,235,16,8,32,0,25,2
5,5,3,291,31,12,40,1,25,2
5,6,3,179,26,9,30,0,19,2
5,2,3,361,52,3,28,1,27,8
5,4,3,155,12,14,34,2,25,2
5,6,3,179,22,17,40,2,22,8
5,6,3,155,12,14,34,2,25,8
5,2,3,225,26,9,28,1,24,1
6,4,3,118,15,24,46,2,25,8
6,4,3,179,26,9,30,0,19,3
6,6,3,118,10,10,37,0,28,8
6,4,3,118,10,10,37,0,28,8
6,5,3,378,49,11,36,2,21,8
6,5,3,118,13,18,50,1,31,24
6,6,3,233,51,1,31,1,21,8
6,6,3,179,26,9,30,0,19,2
6,2,3,235,29,12,48,1,33,0
6,2,3,268,11,8,33,0,25,0
6,5,3,118,13,18,50,1,31,3
6,5,3,179,26,9,30,0,19,2
6,5,3,291,31,12,40,1,25,2
6,2,1,179,26,9,30,0,19,3
6,2,1,118,10,10,37,0,28,3
6,5,1,233,51,1,31,1,21,8
6,6,1,118,10,10,37,0,28,2
6,4,1,118,10,10,37,0,28,3
6,4,1,233,51,1,31,1,21,3
7,4,1,235,20,13,43,1,38,4
7,6,1,233,51,1,31,1,21,2
7,2,1,228,14,16,58,2,22,8
7,2,1,118,10,10,37,0,28,4
7,3,1,228,14,16,58,2,22,120
7,3,1,189,29,13,33,2,25,16
7,4,1,118,10,10,37,0,28,2
7,4,1,361,52,3,28,1,27,8
7,4,1,225,26,9,28,1,24,8
7,2,1,369,17,12,31,3,25,80
7,3,1,289,36,13,33,2,30,8
7,3,1,235,11,14,37,1,29,4
